Stableton Morningstar PitchBook Unicorn 20 AMC All Investors - CH1234846777 (USD),,,,,,,,,,
Date,CCY Chart Price,Chart Price,CCY Adjusted Chart Price,Adjusted Chart Price,CCY Total Return Chart Price,Total Return Chart Price,Net Asset Value,Issue Price,Redemption Price,Closing Price
19/04/2024,USD,102.95,USD,102.95,USD,102.95,102.95,,,
22/04/2024,USD,102.93,USD,102.93,USD,102.93,102.93,,,
23/04/2024,USD,102.92,USD,102.92,USD,102.92,102.92,,,
24/04/2024,USD,102.91,USD,102.91,USD,102.91,102.91,,,
25/04/2024,USD,102.91,USD,102.91,USD,102.91,102.91,,,
26/04/2024,USD,103.2,USD,103.2,USD,103.2,103.2,,,
29/04/2024,USD,103.18,USD,103.18,USD,103.18,103.18,,,
30/04/2024,USD,103.17,USD,103.17,USD,103.17,103.17,,,
02/05/2024,USD,103.15,USD,103.15,USD,103.15,103.15,,,
03/05/2024,USD,103.22,USD,103.22,USD,103.22,103.22,,,
06/05/2024,USD,103.2,USD,103.2,USD,103.2,103.2,,,
07/05/2024,USD,103.18,USD,103.18,USD,103.18,103.18,,,
08/05/2024,USD,103.17,USD,103.17,USD,103.17,103.17,,,
10/05/2024,USD,102.42,USD,102.42,USD,102.42,102.42,,,
13/05/2024,USD,102.39,USD,102.39,USD,102.39,102.39,,,
14/05/2024,USD,102.39,USD,102.39,USD,102.39,102.39,,,
15/05/2024,USD,102.38,USD,102.38,USD,102.38,102.38,,,
16/05/2024,USD,102.37,USD,102.37,USD,102.37,102.37,,,
17/05/2024,USD,102.58,USD,102.58,USD,102.58,102.58,,,
21/05/2024,USD,102.55,USD,102.55,USD,102.55,102.55,,,
22/05/2024,USD,102.54,USD,102.54,USD,102.54,102.54,,,
23/05/2024,USD,102.53,USD,102.53,USD,102.53,102.53,,,
24/05/2024,USD,101.69,USD,101.69,USD,101.69,101.69,,,
27/05/2024,USD,101.67,USD,101.67,USD,101.67,101.67,,,
28/05/2024,USD,101.66,USD,101.66,USD,101.66,101.66,,,
29/05/2024,USD,101.65,USD,101.65,USD,101.65,101.65,,,
30/05/2024,USD,101.55,USD,101.55,USD,101.55,101.55,,,
31/05/2024,USD,103.02,USD,103.02,USD,103.02,103.02,,,
03/06/2024,USD,103,USD,103,USD,103,103,,,
04/06/2024,USD,102.99,USD,102.99,USD,102.99,102.99,,,
05/06/2024,USD,102.98,USD,102.98,USD,102.98,102.98,,,
06/06/2024,USD,102.971,USD,102.971,USD,102.971,102.971,,,
07/06/2024,USD,102.964,USD,102.964,USD,102.964,102.964,,,
10/06/2024,USD,103.757,USD,103.757,USD,103.757,103.757,,,
11/06/2024,USD,103.742,USD,103.742,USD,103.742,103.742,,,
12/06/2024,USD,103.734,USD,103.734,USD,103.734,103.734,,,
13/06/2024,USD,103.706,USD,103.706,USD,103.706,103.706,,,
14/06/2024,USD,105.212,USD,105.212,USD,105.212,105.212,,,
17/06/2024,USD,105.19,USD,105.19,USD,105.19,105.19,,,
18/06/2024,USD,105.18,USD,105.18,USD,105.18,105.18,,,
19/06/2024,USD,105.172,USD,105.172,USD,105.172,105.172,,,
20/06/2024,USD,105.142,USD,105.142,USD,105.142,105.142,,,
21/06/2024,USD,105.938,USD,105.938,USD,105.938,105.938,,,
24/06/2024,USD,105.902,USD,105.902,USD,105.902,105.902,,,
25/06/2024,USD,105.894,USD,105.894,USD,105.894,105.894,,,
26/06/2024,USD,105.887,USD,105.887,USD,105.887,105.887,,,
27/06/2024,USD,105.88,USD,105.88,USD,105.88,105.88,,,
28/06/2024,USD,106.235,USD,106.235,USD,106.235,106.235,,,
01/07/2024,USD,106.202,USD,106.202,USD,106.202,106.202,,,
02/07/2024,USD,106.194,USD,106.194,USD,106.194,106.194,,,
03/07/2024,USD,106.187,USD,106.187,USD,106.187,106.187,,,
04/07/2024,USD,106.18,USD,106.18,USD,106.18,106.18,,,
05/07/2024,USD,107.457,USD,107.457,USD,107.457,107.457,,,
08/07/2024,USD,107.438,USD,107.438,USD,107.438,107.438,,,
09/07/2024,USD,107.423,USD,107.423,USD,107.423,107.423,,,
10/07/2024,USD,107.415,USD,107.415,USD,107.415,107.415,,,
11/07/2024,USD,107.408,USD,107.408,USD,107.408,107.408,,,
12/07/2024,USD,107.649,USD,107.649,USD,107.649,107.649,,,
15/07/2024,USD,107.629,USD,107.629,USD,107.629,107.629,,,
16/07/2024,USD,107.621,USD,107.621,USD,107.621,107.621,,,
17/07/2024,USD,107.584,USD,107.584,USD,107.584,107.584,,,
18/07/2024,USD,107.532,USD,107.532,USD,107.532,107.532,,,
19/07/2024,USD,108.23,USD,108.23,USD,108.23,108.23,,,
22/07/2024,USD,108.207,USD,108.207,USD,108.207,108.207,,,
